,LCoE,LLP,PV_power,Bat_capacity
0,1.1731571658087458,0.0,1643,4712
1,0.9810150976202113,0.0,1681,3858
2,0.7796628239484079,0.0,4241,1624
3,0.1718627016364245,60.0,382,535
4,1.173174891791374,0.0,1884,4645
